date,open,high,low,close,volume,Name
2013-10-21,79.27,79.319,78.44,78.97,6460462,PG
2014-08-22,65.32,65.47,64.7,64.89,375475,MAC
2015-09-21,176.53,178.34,175.12,176.02,354561,AMG
2013-06-07,93.01,93.62,92.04,93.12,6448940,OXY
2017-03-07,166.54,168.62,166.54,167.0,2811856,COST
2017-03-07,57.5,57.93,56.95,57.78,1719547,HOG
2013-10-22,107.55,109.69,107.55,109.37,1218719,BXP
2016-09-07,780.0,782.73,776.2,780.35,894021,GOOG
2015-11-17,57.16,57.735,57.1,57.58,479906,RMD
2013-04-10,76.86,79.46,76.64,79.3,405385,ANSS
2014-04-02,45.91,46.82,45.78,46.64,4454593,IP
2013-07-26,63.03,63.96,62.74,63.92,1694062,INTU
2017-09-19,20.1,20.11,19.76,20.06,2131477,DISCK
2014-01-10,16.75,16.79,16.61,16.77,87682477,BAC
2017-05-15,81.5,82.05,80.78,80.94,1595703,DLTR
2015-03-27,93.59,99.53,93.55,98.83,9735671,SWKS
2013-03-25,38.55,38.59,37.67,38.01,2132524,BWA
2013-08-20,54.23,56.15,54.04,55.77,1241315,URI
2017-08-14,85.39,85.7,83.9,85.09,1127936,ALK
2013-07-05,40.39,40.45,39.39,40.0,1179354,OKE
2016-10-14,49.07,49.935,48.8101,49.46,872344,FTV
2014-04-02,82.09,83.39,82.08,83.15,2430131,ITW
2014-09-18,84.54,85.68,84.37,85.655,1241167,INTU
2017-05-12,32.89,33.07,32.89,33.01,17636786,PFE
2015-12-29,65.91,66.32,65.61,65.96,327221,CBOE
2015-12-11,76.475,76.985,76.205,76.59,851182,HSIC
2017-10-27,44.66,44.9,43.9001,44.6,1704013,SEE
2018-01-18,87.81,88.35,86.14,86.44,3490754,AFL
2015-08-05,58.29,58.48,58.07,58.29,1106794,MMC
2014-12-22,112.65,116.23,110.39,113.5,7889443,CELG
2013-04-12,110.39,110.9,109.982,110.36,999764,BXP
2013-02-20,102.18,102.63,101.05,101.08,1915021,COST
2013-04-19,21.2,21.71,21.16,21.48,1327080,SEE
2014-08-21,40.61,40.77,39.88,39.91,8285732,DAL
2013-12-27,138.78,139.4,138.55,139.35,1895102,MMM
2017-09-28,120.52,123.14,120.52,121.43,1107640,FFIV
2016-10-06,39.76,39.99,39.62,39.91,989318,TXT
2014-12-02,41.18,41.5,41.14,41.25,1100903,L
2013-03-06,176.43,178.38,176.43,177.42,607121,RL
2015-10-26,43.8,44.24,43.24,43.48,1468279,FLS
2013-08-02,53.25,54.08,53.07,53.93,3577271,TJX
2015-04-30,34.7,34.9,34.55,34.64,29693238,T
2015-12-30,71.87,72.26,71.58,71.74,510133,DGX
2014-03-28,16.8,17.27,16.78,17.04,3668295,IPG
2014-04-11,32.88,33.85,32.27,32.52,12682179,DAL
2014-11-13,126.23,126.99,124.06,124.63,554470,MLM
2015-07-27,157.89,159.68,156.81,157.09,503273,SNA
2015-07-10,306.08,313.065,305.84,312.13,2164696,AGN
2013-12-17,123.31,124.12,121.44,123.06,1342578,ALXN
2013-09-25,71.57,71.91,70.9,71.14,1335662,EL
2013-09-04,36.3,36.7,36.2,36.64,663517,PKI
2017-05-23,19.14,19.14,18.81,18.96,7834752,HPQ
2013-02-22,22.45,22.95,22.33,22.93,12015166,SYMC
2016-04-26,28.51,28.76,28.28,28.57,2310802,KIM
2015-03-10,44.36,44.39,43.27,43.42,9909369,DAL
2015-01-27,56.07,56.45,55.75,55.95,1523228,MMC
2013-11-05,44.14,44.35,43.65,44.09,325613,IQV
2014-08-08,63.0,63.43,62.59,63.31,1924575,ANDV
2017-08-11,30.44,30.865,30.265,30.7,1618186,HRB
2014-04-21,125.88,127.184,125.07,126.74,913431,MLM
2017-08-17,32.25,32.315,31.85,31.85,1897269,XRX
2017-11-24,48.88,49.13,48.69,49.01,6008333,ORCL
2016-09-22,130.5,130.73,129.56,130.08,15538307,FB
2016-11-29,41.4,42.17,41.4,41.84,3253791,CMS
2015-08-25,207.23,211.1,196.61,196.96,1016986,PSA
2015-12-21,18.06,18.18,17.92,18.03,12009323,GLW
2017-04-28,51.32,51.33,50.68,50.94,3648520,MPC
2013-05-28,63.24,63.61,62.72,62.84,5906433,COP
2015-04-28,123.37,126.18,122.5005,125.59,1296532,FFIV
2016-04-07,44.58,44.8645,43.68,43.99,2840759,KSS
2016-09-23,76.84,77.24,76.22,77.01,2050553,D
2017-08-03,79.38,79.81,78.53,78.6,5055245,CVS
2017-08-31,73.0,73.06,70.58,70.63,2689769,CHRW
2015-07-14,63.38,64.29,63.37,63.59,10984862,EBAY
2014-08-15,83.85,84.37,83.5,83.79,4763546,PSX
2016-01-25,50.35,51.005,50.0,50.08,7651306,TXN
2015-02-20,77.67,81.78,77.63,81.74,6839876,JWN
2015-02-25,71.87,72.0,70.85,71.55,2585577,ETN
2014-09-24,56.99,57.06,56.26,56.52,1862301,EIX
2017-09-21,54.43,54.8917,54.26,54.37,4038035,MPC
2014-06-30,62.595,63.82,62.595,63.79,971488,CHRW
2014-10-27,51.0,51.45,50.837,51.16,1366336,GIS
2014-08-01,73.74,73.74,72.06,72.96,1052661,FLS
2017-05-17,134.06,134.99,133.48,133.54,936990,SYK
2017-02-17,152.3,152.94,151.15,152.86,1529202,RTN
2014-08-25,81.69,81.94,80.48,80.67,581925,SNI
2017-06-13,144.17,146.03,142.04,144.38,1024294,ALGN
2017-02-15,80.8,81.63,77.96,81.6,7032662,ADI
2013-07-15,103.21,103.71,102.36,103.27,2371496,MON
2013-08-12,90.43,90.43,89.69,89.89,10133654,XOM
2014-08-06,55.23,55.72,54.9,55.59,1568834,A
2015-07-01,42.54,42.55,42.045,42.18,5146687,BK
2017-10-25,57.4412,57.8039,56.7059,56.8186,2093465,LEN
2017-08-21,97.9,98.12,96.96,97.8,716150,XEC
2013-05-10,27.0,27.37,26.8975,27.22,4042489,CA
2018-01-18,238.82,243.96,238.255,243.15,1075346,ULTA
2014-03-06,74.0,74.375,73.53,73.59,2398550,AET
2014-10-30,34.35,34.51,33.88,34.13,6727238,LUV
2017-09-15,29.54,29.8,29.44,29.45,7466018,HCP
2017-01-27,113.56,113.56,112.16,112.93,440787,UHS
2015-02-12,76.66,77.48,75.94,77.36,1509010,DISH
2017-01-03,39.71,39.91,39.4,39.76,2608086,CAG
2013-12-12,35.81,36.72,35.79,36.57,5889062,COG
2017-04-12,136.46,136.475,135.35,135.51,899936,APD
2015-07-10,84.34,85.06,84.0,84.62,904203,JBHT
